Hfxgxghxgjckckgcgjxgj hkkcgfxgkxkgcgj gk mchckhhkhcoycuovvot,4
Ahhahahshhdhddudidndnbcjcjckcmcfmmmdmfmfmmfmfncncnfmcnncncnncncnncncncnnfcnffcncncnnncncncncncnfbbfnnf,4
"Vải có chút mỏng , cứng và nóng cổ tay cổ áo may to thô 👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌",4
Áo mỏng và có dính chút màu do in nên cho shop 4 sao,4
"Áo ổn lắm ạ, cổ áo hơi dơ, khá nhiều chỉ thừa, hình in hơi mờ không ổn lắm nhma cũng được. Trừ 1* vì cổ áo dơ thôi ạ.",4
Vải mỏng ống tay hơi bé jjannseknejendidnmdnendidndjndnridndiendnendjdnd,4
 hàng ko giống ảnh đã thế còn bị rách một chỗ :(((((,4
2 bộ hồng vàng chất tạm ổn. bộ màu tím và đỏ chất nhảo nhoét luôn không mê dc.,1
"Nhận đủ số lượng,tuy nhiên thật sự ko hài lòng lắm,shop gửi hàng thấy dính màu trên sản phẩm vậy mà vẫn gửi cho khách đến chịu,nhắn tin cho shop ko thấy shop phản hồi mặc dù có onl.Các mẫu khác nhìn chung ổn phù hợp giá tiền ",1
Hàng không giống hình. Hàng fake,1
"Hàng không giống hình. Chất vải rất kém. Ra ngoài chợ với số tiền 40k có thể mua được 1 bộ chất đẹp rồi. Hình 1 đằng, áo 1 nẻo. Bó tay",1
"Chả ra làm sao, đặt ba bộ khác nhau, lại giao hai bộ màu vàng y hệt nhau",1
Áo hình tim  có chữ sissy girl giặt lên bị lem. Hết sức thất vọng. ,1
"Đây là sản phẩm monhf nhận dc
Rất khác so với hình shop đăng ạ. Mọi người mua nhớ ib hỏi kĩ ảnh thật. Đừng như mình nhé. 
Shop có gợi ý ko ưng có thể trả. Nhưng do ở xa nên mình nhận luôn. ",2
Khác hình hoàn toàn. Treo đầu dê bán thịt chó. Đăng chuẩn hình thì chắc k mua rồi,2
"Nhận hàng thất vọng quá, sp bên ngoài khác ảnh shop đăng.",2
Chất vải và đường may rất xấu,2
Chất kém quá,2
"Bộ quần Áo đỏ bị phai màu, cùng trong thành phố mà giao lâu quá.",3
Mẫu này giao sai màu.mình đặt bóng vàng mà giao bóng cam.hết màu mà k thấy shop báo gì,3
Mình đặt màu khác shop lại giao màu hồng.  Quá chán,3
Bán đồ đưa tào lao . Nghĩ sao đưa 2 bộ giống nhau . Đặt cái này đưa cái khác r 2 cái áo 3 cái quần giống nhau Bik đg nào cho theo bộ ,3
Hàng ko giống ảnh chụp,3
"Trên hình áo may nổi đám mây với ngôi nhà lại nhận được áo in, vải tạm ổn. Hơi đắt so với tầm giá. Mình mua ở nhà hành rẻ đẹp hơn nên khá thất vọng... hàng giao nhanh",3
"1 chiếc áo bị lỗi, phù hợp với giá tiền của sp",3
Hàng không giống như hình. Với giá cả như vậy tạm chấp nhận được. Mong shop khi bán đăng hình thật để người mua không bị hụt hẫng.,3
"Thun mỏng, đường may ko chắc, hình in ko nét, ko đẹp như quảng cáo, nhưng shop nhiệt tình nên cho 3 sao! ",3
Mua 3 bộ chỉ hài lòng được 1 bộ 2 bộ nhà hồng với nha vàng. Vải thô xấu. Kết hơp giữa quần với áo không hợp. ,3
"Giá khá rẻ tuy nhiên chất liệu ko đc đẹp cho lắm, nhìn ngoài cũng ko giống trên ảnh. Trông đểu hơn, như kiểu hàng fake 2, fake 3 gì đó",3
Sản phẩ k giống mô tả quần sai mẫu trên ảnh mẫu khác giao hàng lại mẫu khác mong shop lần sau dăng đúng hình đễ cho mn dễ lụa chọn ,3
Đặt 5 món mà nhận được có 4 món. Shop giao thiếu hàng . gọi điện thoại thì ko bắc máy là sao ạ ? Bực ghê 😡,3
"Vải áo mỏng te,quần quá bình thường",3
